""	"Blovice"	"Bohnice"	"Borek"	"Bozkov"	"Cekanice"	"Cerveny Hradek"	"Cimice"	"Cizice"	"Dobriv"	"Drahkov"	"Chlum"	"Chocenice"	"Chocenicka Lhota"	"Chocenicky ujezd"	"Chotusice"	"Chrast"	"Chvalenice"	"Kadan"	"Klabava"	"Kornatice"	"Kozel"	"Krimice"	"Kysice"	"Letkov"	"Lhuta"	"Litice"	"Litohlavy"	"Lobzy"	"Losina"	"Mesno"	"Milinov"	"Mirosov"	"Mokrouse"	"Nebilovy"	"Nepomuk"	"Netunice"	"Nevid"	"Nezbavetice"	"Nezvestice"	"Olesna"	"Osek"	"Plzen"	"Plzenec"	"Porici"	"Predenice"	"Prestice"	"Radnice"	"Radobycice"	"Rakova"	"Rokycany"	"Sedlec"	"Stahlavice"	"Stahlavy"	"Tymakov"	"Unetice"	"Vesela"	"Vitinka"	"Vrcen"	"Zakava"	"Zdemyslice"	"Zelcany"	"Zinkovy"
"Chlum"	5.60297039673778	89.261453668795	6.00983423434003	14.9748510184687	38.9639500281907	17.0938941139984	90.509702939277	7.55079327525538	19.3653329710209	5.37053536597262	0	7.06320893400291	4.57094691615937	4.12743660177504	142.887872471049	20.9537259519235	4.2132648759216	87.0839147475553	17.0601533630799	10.108790730211	8.16327414251704	21.0531518590437	16.4883843661078	13.9789774558926	11.3125794792427	15.3678582443411	18.9731750531113	16.1025209851326	7.46332259332485	11.7340140574118	7.54295349953305	15.8374178377667	12.6580928208614	4.55130287346586	15.1985074060526	3.72064857011801	12.761986729683	5.53686429574408	4.88648999143433	4.49637766234951	20.8521245884002	17.4561399793403	10.3030628719788	9.06882637161998	6.33156360233829	11.1090314292017	29.4473785039778	12.2016060020597	12.9215640935189	17.4179336235598	10.1131281637823	6.95548539582705	8.03228978237807	12.8665033388778	2.41958534189321	13.3977754664865	21.1760951819377	14.7959950470478	4.62771194345876	2.93652443363136	2.64872434141583	13.5781555513419
"Chocenice"	3.71449669097777	91.5693300249868	13.0603234936695	21.9118001455083	32.6460749941945	23.8572328390951	92.8072449079173	14.2333864872928	22.244551929734	3.60117980412446	7.06320893400291	0	2.49242713994935	3.70033932514145	142.025968483706	27.4128721101184	11.0913509005191	93.926283367402	22.9624450604164	13.4491820050053	13.7320619542182	28.0101978109976	23.0285644978457	20.7431242455708	17.18378881219	22.2987992296696	24.5777970419597	23.1134062060643	14.4966432559669	14.118202286862	11.1373644206305	18.5190847316524	18.6501672138995	11.2908911433594	8.17909202333168	10.0195875963565	16.5465101681205	12.348853281622	10.3402571118015	10.3024425375039	26.1590611388014	24.5193350954876	17.0469425063653	9.63241663457553	12.3530948417213	13.7644429549893	34.9716398753547	19.2458719301801	17.5836988646374	22.3794114031846	16.573424940889	12.5309275382999	14.2974031422687	19.1084508080974	5.45808262854655	17.4750243411938	26.8444173763604	8.39148028260902	9.20846376523606	6.61372343742205	9.44567256106771	7.47428101207887
"Chocenicka Lhota"	2.95802008021207	90.7206261820918	10.5694177102102	19.4577158542595	34.853289827185	21.4549331246095	91.9628990542635	11.8184700815164	21.0242422149253	2.65605975795179	4.57094691615937	2.49242713994935	0	1.84469013019831	142.313602983653	25.1054789350103	8.63443570686036	91.5137191383569	20.8093118586055	11.9238592374908	11.5951646735333	25.5449096365676	20.6897622281719	18.3367671435633	15.0069635736496	19.8383716404715	22.5200314062389	20.6381083065841	12.0127228388345	12.9121371108699	9.44987955626813	17.3139516876016	16.450316360845	8.84985582720656	10.6520588302514	7.63792377741113	14.9603144198891	9.91016571403304	8.15012944942611	8.03747096648113	24.1987497997678	22.027073644434	14.639150578189	8.83578850304473	10.0647097589748	12.4198284448258	32.9692838254077	16.7568867302108	15.7520110388053	20.5040593484364	14.2370253238245	10.3707926159982	11.9952301106038	16.841981441463	3.14328818855391	15.815648012675	24.775761819176	10.5660555071315	7.15883833491521	4.48158876732008	6.99170651467493	9.4649843123928
"Chocenicky ujezd"	4.72081910303661	92.0231759239909	9.82244427584967	19.0435332101359	36.3441020796413	21.2124256638664	93.2675190732171	10.6705761456197	22.1902845557208	1.33209821455552	4.12743660177504	3.70033932514145	1.84469013019831	0	144.056997565769	25.074961320977	8.33858591983934	91.1612089866309	21.069779235658	12.959060545467	11.9824070255696	24.5282942907895	20.6130204046561	18.100170210068	15.2806751700692	18.8114217010756	22.905570296706	20.1068290247462	11.4777870281155	14.1566676495543	10.4022798179398	18.514266612853	16.6711601329008	7.80710675313601	11.7490408155201	6.43875666728087	15.9031004144072	9.66395064172019	8.54615268543604	8.30352947811648	24.6978276056612	21.2943390057694	14.4292446416835	10.3611697057381	8.67796697402141	10.5759879422501	33.3858719142075	15.9281723913286	16.4561114742548	21.1208430916936	14.2194676150626	10.7488411922159	12.0849472275716	16.9418011474073	1.93419763447889	16.6854165471147	25.1353949006669	12.0746146888418	7.80383052884563	5.19813926567051	6.76675141944107	9.45644955392147
"Chotusice"	139.358681772316	73.0308880993508	144.407953216009	142.435394964184	126.269314808452	140.49125798197	72.2761521548911	147.311112887207	125.324563420929	144.941577860745	142.887872471049	142.025968483706	142.313602983653	144.056997565769	0	137.464919659165	141.993553581631	158.669361666954	134.911560254905	133.436969468055	137.458737974278	151.355565227453	138.675487633514	140.629238177721	136.833008464354	149.284046287067	132.872841713856	143.805882293704	143.220664745397	131.455605922728	135.722899381351	128.047581227627	136.756619481779	145.62229418786	140.228550801231	145.921421642283	131.779162384044	141.586365436985	139.02286821837	139.631966289329	130.795463259016	146.424787892769	140.752395575045	133.950971454865	148.055681616694	153.987045765314	128.647880409891	146.256771120557	133.064545162763	131.213707598286	139.324850013521	138.069939018811	139.159539870988	137.705433085448	144.191092097179	131.729221843421	132.355183811006	136.864829170615	138.557660381457	140.021747501442	141.923292964886	146.572897343338
"Chrast"	24.3171065311515	76.0703037153519	16.2163658698434	7.44067614224605	54.5013850853675	4.60887780589535	77.3131270241161	17.5762091532603	16.3598082510785	26.3205361263573	20.9537259519235	27.4128721101184	25.1054789350103	25.074961320977	137.464919659165	0	16.7694956049411	66.7898590549379	5.51177333873472	16.5459309849047	13.8831441308095	14.0240040120403	4.47897220586545	7.28307158252054	10.465674375803	13.733461814961	5.90959555300045	7.80192214779495	14.1829171326371	17.8668701878091	17.5054882861597	16.6620368405735	8.9797453990055	18.7401682906277	34.7716786997129	20.2007041243275	14.4519381082093	15.4392535417646	17.1092318789384	17.1108013019824	7.19837710729139	9.70530505210703	10.7308779483302	21.3947556149531	20.04786569639	27.0903971124869	10.7201150500385	12.572666603598	12.1363170036587	9.18386137640458	10.8757495636608	14.9970971772832	13.1175504652761	8.3345130879815	23.3169466960651	13.4559972366283	5.31539909028359	33.0121491520928	18.3659990254142	20.8186465042153	18.308499084299	34.4873769781582
"Chvalenice"	8.80671883582112	86.7048748049328	2.92850100593303	10.8234963659907	42.0182340221139	12.8828443662599	87.9558292252628	5.65364393963748	17.2089517151677	9.55838006432885	4.2132648759216	11.0913509005191	8.63443570686036	8.33858591983934	141.993553581631	16.7694956049411	0	82.8996986624903	13.1137811738393	8.56606233609064	4.97217679018733	17.6686199824282	12.2961351064923	9.76664195378767	7.54058407827274	12.1540848577995	15.1515539055729	12.0375274379028	3.53118301290768	10.6195034381498	6.48726768495635	14.0392955753332	8.75290575501622	3.66718326653747	19.0705132059088	4.41380203532161	10.4720754758887	1.33041053797377	3.1611685509682	2.55640579123735	17.1588947584771	13.6191546901875	6.09069513531635	9.75615316702921	6.08651870370183	12.8963738323232	25.5631003845715	8.65070296827403	9.95249342946847	14.0069474878704	5.99721483543726	4.03786838497919	4.14853582267436	8.81364681421624	6.5476939717567	10.8252365030726	17.2927572372149	18.231926958423	4.20670543916292	5.10869066090175	1.64582592733355	17.7914185653671
"Kadan"	91.0360457866992	85.6837508417022	81.4625560972421	72.1177741109437	119.878640032945	70.0694464676901	86.4029691407039	81.5503070531558	79.2814853476166	92.2824439975013	87.0839147475553	93.926283367402	91.5137191383569	91.1612089866309	158.669361666954	66.7898590549379	82.8996986624903	0	71.8980206858076	83.056269806842	80.659611120103	68.8694935784658	71.00329320738	73.1832826838839	77.2555307381672	73.9184744189746	71.0162099080848	71.1107442772563	79.6918139125072	84.0005963140926	84.2669124801254	81.4447825375204	75.7690027064168	83.7968205695767	101.529376168055	85.3250593408602	80.5018324196996	81.6069284365052	83.7865626307967	83.7161335523415	70.3736663866921	70.3480297723233	76.8801362208401	88.0188656905517	84.146066834634	89.5006038018623	62.533122956365	75.7503923427767	78.4247046218256	74.1861872504504	77.4140978965363	81.7426004680012	79.7269020368332	75.0889516325836	89.2708964069311	79.4180773675713	68.9045802388697	99.784855244049	85.0946860354778	87.4360056039288	84.5324299110011	100.583502657361
"Klabava"	19.6244370860724	75.6622584431754	13.4438603955931	7.54131856368152	49.0161922460864	5.77642310770372	76.9126625539348	15.5425266691763	11.4182462367586	22.3751712390492	17.0601533630799	22.9624450604164	20.8093118586055	21.069779235658	134.911560254905	5.51177333873472	13.1137811738393	71.8980206858076	0	11.1893407188047	9.23144923694339	16.7552015476558	3.81697836051021	5.92622782104436	5.80479163398406	14.4896443651129	2.32492648901262	8.90797214101385	11.4369788095787	12.3906631015922	12.4360579982442	11.2448961279127	4.40261964775123	15.8570291763864	29.9141577151107	17.149961887831	8.9497119811523	11.8468739632635	12.6597271542026	12.8003627747002	4.6126327095585	11.5916603333723	7.80596551669488	16.1253490387809	17.6639589261232	24.9676690298048	12.4537591185208	11.9859214723214	6.66262477839695	4.15436050795596	7.20877552876952	10.443571323784	9.03577679865481	4.37388953028714	19.479243438677	7.9451930252213	4.20809122404907	27.9233022602567	13.7582103101566	16.367012587168	14.4507623411913	30.2742350207586
"Kornatice"	9.75127256812594	79.2014855723276	11.1541132345406	14.1242372703617	38.0778096814094	14.6184935932035	80.4485422650673	14.0589081784727	9.28886054912804	14.2492329900935	10.108790730211	13.4491820050053	11.9238592374908	12.959060545467	133.436969468055	16.5459309849047	8.56606233609064	83.056269806842	11.1893407188047	0	4.66970816319045	23.3306748508343	12.9795985011251	12.136422389533	6.65672379244608	18.6535905491433	12.1311384832075	15.8148336498099	10.429975409018	2.1703484380708	2.59002095078946	5.73103934505453	7.92304661646528	12.1857807876615	19.2463888115462	12.5794870209877	3.10572266577141	8.31082703842724	5.62348214882708	6.21931054287291	13.2554686227334	18.3004765467391	9.57736599439799	4.98900777589391	14.6191749983106	20.9700941258065	22.0445135189545	14.9574363876796	4.66633876515155	9.32599200595831	8.12941833473469	4.8178418674171	6.62381911958872	8.94524592864808	12.112525872672	4.09520069750839	14.3476028300714	16.9166228377985	5.48117570088573	7.79338752581633	8.56952795678876	20.9011159268655
"Kozel"	10.4610333683777	81.7335619204693	6.96224284127009	9.93556321954122	41.7661479999869	10.9891615560568	82.984464072053	9.85416134604745	12.348852696266	13.3079650622186	8.16327414251704	13.7320619542182	11.5951646735333	11.9824070255696	137.458737974278	13.8831441308095	4.97217679018733	80.659611120103	9.23144923694339	4.66970816319045	0	18.7856385981185	9.71226964347077	8.13050933924186	3.46509989542499	13.9915433191676	10.9406646997025	11.5570883834156	5.88759794855383	6.82851726937594	4.02290966789642	9.41752806614698	4.9498577530024	8.56337264585685	20.8887967339261	9.38098407468145	5.68787953580783	4.20255198868184	3.45528105429375	3.69241495835232	12.721393517586	13.8848738222704	5.05677440235112	8.20169498608674	10.9154853919302	17.8676368172217	21.4134245713045	10.2902982292432	4.98378604842792	9.26233364220281	3.76034880867112	1.23431780896002	1.95413602245582	5.57414536715017	10.5501150809691	5.90286711402898	13.1877017142883	19.2208252358059	4.53732058755583	7.13752209303091	5.77074158895938	21.0574750799915
"Krimice"	26.3875264815883	89.7418304830083	15.0959139142773	9.71405145297146	59.6846654471379	10.9960392654569	90.9781064564837	13.8842470635196	27.7676257991476	25.332039380139	21.0531518590437	28.0101978109976	25.5449096365676	24.5282942907895	151.355565227453	14.0240040120403	17.6686199824282	68.8694935784658	16.7552015476558	23.3306748508343	18.7856385981185	0	12.9413107372227	11.8058904119885	17.1051454156317	5.71710642300368	18.5912910628932	8.05093796152147	14.1959768441761	25.3922253547403	22.6307357937396	26.4781804711504	16.3988463216901	16.7335077044215	36.1892797190462	18.100735738193	22.9900912213944	16.7912610647476	20.1547588976354	19.7294595414352	20.5824943500961	5.29241897432863	13.7583245123526	26.6981899126749	16.2017374187798	20.6584778300923	24.1647349112682	9.02050912164052	20.8323342730873	20.7960492489672	15.207770169775	19.1504811149156	16.9072445466869	15.2551828867531	22.6206004160036	22.4429045396104	19.0037308240943	35.786971354245	21.5224937227923	22.7599589593564	19.1586407349976	33.2690189512784
"Kysice"	20.0332401680827	78.8521408945453	11.7908999200177	3.93831818003521	51.0498713321614	2.01266985120397	80.1004589780506	13.3367295287634	15.028100062013	21.8514984515749	16.4883843661078	23.0285644978457	20.6897622281719	20.6130204046561	138.675487633514	4.47897220586545	12.2961351064923	71.00329320738	3.81697836051021	12.9795985011251	9.71226964347077	12.9413107372227	0	2.96280850480909	6.46026840731412	10.9064003146774	5.82446380005788	5.13273431520218	9.74573179440518	14.5993187588577	13.5426116615252	14.3538050968507	5.06841121314974	14.3121643760185	30.5278831711825	15.7553066123548	11.4388320243681	10.9657246541363	12.787231543937	12.7434795996668	8.01896621742008	7.7812260709947	6.2529385661865	17.5965190602983	15.7302828116236	22.8854888133852	14.3709593294568	8.85738239861311	9.06498665877094	7.88383330903257	6.4559385484646	10.7505887540499	8.74261503956257	4.16703493787038	18.8437655673788	10.6003249906339	6.89697593329792	28.9327544766411	14.0924255352892	16.4642966899817	13.8467013054338	30.0395392622851
"Letkov"	17.9793837985888	81.5233901062388	8.9418336126306	2.10298396398532	49.8888986229463	3.11921873741258	82.7730448777371	10.3775795856967	16.0488938244482	19.2971706371515	13.9789774558926	20.7431242455708	18.3367671435633	18.100170210068	140.629238177721	7.28307158252054	9.76664195378767	73.1832826838839	5.92622782104436	12.136422389533	8.13050933924186	11.8058904119885	2.96280850480909	0	5.5315510249864	8.65808609331751	8.20877738598745	3.81472938307452	6.92206165797416	14.0271361771564	12.1434960659202	14.6866531135323	4.61617012678331	11.4647633011206	28.4778122775461	12.9378199593724	11.2961614948189	8.45155237428704	10.764574363681	10.6105980928955	10.4927195127897	6.52496239287818	3.69773162498286	16.3135606586193	12.792808369343	19.9252503814723	17.3219676037387	6.08889825223329	9.06140932290986	9.42386276280359	4.43238778332747	8.9609482470117	6.72267639724057	3.46612519163799	16.2723830276646	10.674328535194	9.64478130674531	27.1395437821655	12.1448408596097	14.30246108198	11.3776069543619	27.5559374082296
"Lhuta"	13.9230539081208	79.7038288087463	8.52817976110661	7.58376384608882	44.6406885319995	7.98219448611741	80.9556853835737	11.1172983283036	11.5489948050469	16.5922985074066	11.3125794792427	17.18378881219	15.0069635736496	15.2806751700692	136.833008464354	10.465674375803	7.54058407827274	77.2555307381672	5.80479163398406	6.65672379244608	3.46509989542499	17.1051454156317	6.46026840731412	5.5315510249864	0	13.0506056622666	7.66371418376253	9.29852274213178	6.77957668802362	8.49733097810188	7.09423843254032	9.50771337549359	1.49134753819152	10.691652513606	24.3264416942374	11.8150076147861	5.8928051000043	6.37432078838536	6.85990156739956	6.99707255839554	9.6199304600304	11.9109977775162	3.93772683081146	11.1386952219055	12.796569005455	20.048789937492	18.1348115125421	9.59594898133913	3.90074289768712	6.61778055773159	2.4979092785885	4.65294242997205	3.39255733357617	2.31570142056156	13.7308070803851	5.45285365247668	9.86539746707385	22.5588379291152	8.00124016324222	10.576679148005	8.74473625700645	24.4713899512004
"Litice"	20.7667590058837	89.6358788931399	9.46169989493396	6.98035848848162	54.1388962955956	9.44492781414312	90.8821408606126	8.17864205833923	24.4261940109055	19.6243585891959	15.3678582443411	22.2987992296696	19.8383716404715	18.8114217010756	149.284046287067	13.733461814961	12.1540848577995	73.9184744189746	14.4896443651129	18.6535905491433	13.9915433191676	5.71710642300368	10.9064003146774	8.65808609331751	13.0506056622666	0	16.6832337886926	5.987682471441	8.79647320857019	20.7944137595458	17.595218918885	22.5482435456296	12.7465957567928	11.0172186351492	30.4776785226949	12.3864392676367	18.8534107073995	11.4030058978021	14.846662826346	14.3705272789049	18.9164251323057	4.39040603872334	9.24821620741119	21.5221108768983	10.5596232213676	15.7044480154473	24.4519491532582	3.71452528870901	16.9457973404455	18.0712162661126	10.7805864075081	14.1394222750867	12.0433218556387	11.7001804173243	16.9036150926214	18.5011838736886	17.7502897590375	30.1358758725581	16.1648702388952	17.1933668439894	13.5759194962668	27.614042141067
